rowname	enterotype
348	Firmicutes
349	Firmicutes
350	Firmicutes
351	Bact_Phoc
352	Firmicutes
353	Firmicutes
354	Bact_Phoc
355	Firmicutes
356	Firmicutes
357	Firmicutes
358	Firmicutes
359	Prevotella
360	Firmicutes
361	Prevotella
362	Bact_Phoc
363	Bact_Phoc
364	Bact_Phoc
365	Firmicutes
366	Firmicutes
367	Firmicutes
368	Prevotella
369	Firmicutes
370	Firmicutes
371	Firmicutes
372	Firmicutes
373	Prevotella
374	Prevotella
375	Firmicutes
376	Bact_Phoc
377	Prevotella
378	Prevotella
379	Firmicutes
380	Firmicutes
381	Prevotella
382	Firmicutes
383	Bact_Phoc
384	Firmicutes
385	Prevotella
386	Prevotella
387	Prevotella
388	Prevotella
389	Prevotella
390	Firmicutes
391	Prevotella
392	Prevotella
393	Firmicutes
394	Firmicutes
395	Firmicutes
396	Firmicutes
397	Firmicutes
398	Prevotella
399	Prevotella
400	Prevotella
401	Firmicutes
402	Prevotella
403	Firmicutes
404	Prevotella
405	Prevotella
406	Firmicutes
407	Prevotella
408	Prevotella
409	Prevotella
410	Prevotella
411	Firmicutes
412	Prevotella
413	Firmicutes
414	Bact_Phoc
415	Firmicutes
416	Firmicutes
417	Firmicutes
418	Firmicutes
419	Firmicutes
420	Firmicutes
421	Firmicutes
422	Prevotella
423	Prevotella
424	Firmicutes
425	Firmicutes
426	Prevotella
427	Prevotella
428	Prevotella
429	Firmicutes
430	Firmicutes
431	Prevotella
432	Firmicutes
433	Firmicutes
434	Firmicutes
435	Prevotella
436	Prevotella
437	Prevotella
438	Firmicutes
439	Firmicutes
440	Firmicutes
441	Firmicutes
442	Firmicutes
443	Bact_Phoc
444	Firmicutes
445	Firmicutes
446	Firmicutes
447	Prevotella
448	Firmicutes
449	Bact_Phoc
450	Firmicutes
451	Firmicutes
452	Firmicutes
453	Prevotella
454	Firmicutes
455	Prevotella
456	Prevotella
457	Prevotella
458	Firmicutes
459	Prevotella
460	Prevotella
461	Firmicutes
462	Firmicutes
463	Firmicutes
464	Prevotella
465	Firmicutes
466	Firmicutes
467	Firmicutes
468	Prevotella
469	Prevotella
470	Prevotella
471	Prevotella
472	Firmicutes
473	Firmicutes
474	Firmicutes
475	Firmicutes
476	Prevotella
477	Firmicutes
478	Firmicutes
479	Firmicutes
480	Prevotella
481	Firmicutes
482	Firmicutes
483	Firmicutes
484	Firmicutes
485	Firmicutes
486	Firmicutes
487	Firmicutes
488	Firmicutes
489	Firmicutes
490	Firmicutes
491	Firmicutes
492	Firmicutes
493	Prevotella
494	Prevotella
495	Prevotella
496	Firmicutes
497	Firmicutes
498	Firmicutes
499	Firmicutes
500	Prevotella
501	Firmicutes
502	Prevotella
503	Prevotella
504	Firmicutes
505	Firmicutes
506	Bact_Phoc
507	Bact_Phoc
508	Bact_Phoc
509	Firmicutes
510	Firmicutes
511	Firmicutes
512	Firmicutes
513	Prevotella
514	Prevotella
515	Firmicutes
516	Firmicutes
517	Firmicutes
518	Prevotella
519	Prevotella
520	Firmicutes
521	Firmicutes
522	Firmicutes
523	Prevotella
524	Firmicutes
525	Firmicutes
526	Prevotella
527	Prevotella
528	Prevotella
529	Prevotella
530	Prevotella
531	Firmicutes
532	Firmicutes
533	Firmicutes
534	Firmicutes
535	Firmicutes
536	Firmicutes
537	Prevotella
538	Firmicutes
539	Firmicutes
540	Firmicutes
541	Firmicutes
542	Firmicutes
543	Firmicutes
544	Prevotella
545	Firmicutes
546	Prevotella
547	Firmicutes
548	Bact_Phoc
549	Prevotella
550	Prevotella
551	Firmicutes
552	Firmicutes
553	Prevotella
554	Firmicutes
555	Firmicutes
556	Firmicutes
557	Firmicutes
558	Prevotella
559	Prevotella
560	Firmicutes
561	Firmicutes
562	Firmicutes
563	Prevotella
564	Firmicutes
565	Prevotella
566	Prevotella
567	Prevotella
568	Firmicutes
569	Firmicutes
570	Firmicutes
571	Firmicutes
572	Firmicutes
573	Firmicutes
574	Bact_Phoc
575	Firmicutes
576	Prevotella
577	Prevotella
578	Firmicutes
579	Prevotella
580	Firmicutes
581	Firmicutes
582	Firmicutes
583	Firmicutes
584	Firmicutes
585	Prevotella
586	Firmicutes
587	Firmicutes
588	Firmicutes
589	Firmicutes
590	Firmicutes
591	Firmicutes
592	Prevotella
593	Firmicutes
594	Firmicutes
595	Firmicutes
596	Firmicutes
597	Firmicutes
598	Firmicutes
599	Firmicutes
600	Prevotella
601	Prevotella
602	Firmicutes
603	Firmicutes
604	Firmicutes
605	Firmicutes
606	Prevotella
607	Firmicutes
608	Firmicutes
609	Prevotella
610	Prevotella
611	Prevotella
612	Firmicutes
613	Firmicutes
614	Firmicutes
615	Firmicutes
616	Firmicutes
617	Bact_Phoc
618	Firmicutes
619	Firmicutes
620	Firmicutes
621	Bact_Phoc
622	Firmicutes
623	Firmicutes
624	Prevotella
625	Firmicutes
626	Firmicutes
627	Firmicutes
628	Prevotella
629	Prevotella
630	Firmicutes
631	Firmicutes
632	Firmicutes
633	Prevotella
634	Prevotella
635	Firmicutes
636	Prevotella
637	Prevotella
638	Prevotella
639	Prevotella
640	Firmicutes
641	Firmicutes
642	Prevotella
643	Prevotella
644	Firmicutes
645	Bact_Phoc
646	Firmicutes
647	Prevotella
648	Prevotella
649	Prevotella
650	Bact_Phoc
651	Firmicutes
652	Prevotella
653	Prevotella
654	Firmicutes
655	Firmicutes
656	Prevotella
657	Prevotella
658	Prevotella
659	Prevotella
660	Firmicutes
661	Firmicutes
662	Firmicutes
663	Firmicutes
664	Prevotella
665	Firmicutes
666	Firmicutes
667	Firmicutes
668	Prevotella
669	Prevotella
670	Firmicutes
671	Firmicutes
672	Prevotella
673	Prevotella
674	Firmicutes
675	Prevotella
676	Firmicutes
677	Firmicutes
678	Firmicutes
679	Firmicutes
680	Firmicutes
681	Firmicutes
682	Prevotella
683	Prevotella
684	Firmicutes
685	Firmicutes
686	Firmicutes
687	Firmicutes
688	Firmicutes
689	Prevotella
690	Prevotella
691	Prevotella
692	Firmicutes
693	Firmicutes
694	Firmicutes
695	Firmicutes
696	Prevotella
697	Prevotella
698	Firmicutes
699	Firmicutes
700	Firmicutes
701	Firmicutes
702	Firmicutes
703	Firmicutes
704	Prevotella
705	Prevotella
706	Bact_Phoc
707	Firmicutes
708	Bact_Phoc
709	Firmicutes
710	Firmicutes
711	Firmicutes
712	Prevotella
713	Prevotella
714	Firmicutes
715	Firmicutes
716	Firmicutes
717	Firmicutes
718	Firmicutes
719	Firmicutes
720	Firmicutes
721	Firmicutes
722	Prevotella
723	Firmicutes
724	Firmicutes
725	Firmicutes
726	Prevotella
727	Firmicutes
728	Firmicutes
729	Prevotella
730	Firmicutes
731	Prevotella
732	Prevotella
733	Firmicutes
734	Firmicutes
735	Firmicutes
736	Firmicutes
737	Firmicutes
738	Firmicutes
739	Firmicutes
740	Firmicutes
741	Firmicutes
742	Firmicutes
743	Firmicutes
744	Firmicutes
745	Prevotella
746	Prevotella
747	Prevotella
748	Prevotella
749	Firmicutes
750	Firmicutes
751	Prevotella
752	Prevotella
753	Firmicutes
754	Prevotella
755	Firmicutes
756	Firmicutes
757	Firmicutes
758	Firmicutes
759	Prevotella
760	Prevotella
761	Prevotella
762	Firmicutes
763	Firmicutes
764	Firmicutes
765	Firmicutes
766	Prevotella
767	Prevotella
768	Firmicutes
769	Firmicutes
770	Firmicutes
771	Firmicutes
772	Firmicutes
773	Firmicutes
774	Firmicutes
775	Firmicutes
776	Firmicutes
777	Bact_Phoc
778	Firmicutes
779	Firmicutes
780	Firmicutes
781	Firmicutes
782	Firmicutes
783	Prevotella
784	Prevotella
785	Firmicutes
786	Firmicutes
787	Firmicutes
788	Firmicutes
789	Firmicutes
790	Prevotella
791	Prevotella
792	Prevotella
793	Firmicutes
794	Firmicutes
795	Firmicutes
796	Firmicutes
797	Firmicutes
798	Firmicutes
799	Firmicutes
800	Firmicutes
801	Firmicutes
802	Firmicutes
803	Prevotella
804	Prevotella
805	Firmicutes
806	Firmicutes
807	Firmicutes
808	Firmicutes
809	Prevotella
810	Prevotella
811	Firmicutes
812	Prevotella
813	Firmicutes
814	Firmicutes
815	Firmicutes
816	Firmicutes
817	Firmicutes
818	Firmicutes
819	Firmicutes
820	Firmicutes
821	Prevotella
822	Prevotella
823	Firmicutes
824	Firmicutes
825	Firmicutes
826	Firmicutes
827	Firmicutes
828	Firmicutes
829	Firmicutes
830	Prevotella
831	Prevotella
832	Prevotella
833	Prevotella
834	Firmicutes
835	Firmicutes
836	Firmicutes
837	Firmicutes
838	Bact_Phoc
839	Firmicutes
840	Firmicutes
841	Firmicutes
842	Firmicutes
843	Firmicutes
844	Firmicutes
845	Firmicutes
846	Firmicutes
847	Firmicutes
848	Firmicutes
849	Prevotella
850	Firmicutes
851	Firmicutes
852	Firmicutes
853	Firmicutes
854	Firmicutes
855	Firmicutes
856	Prevotella
857	Prevotella
858	Prevotella
859	Prevotella
860	Prevotella
861	Prevotella
862	Firmicutes
863	Bact_Phoc
864	Firmicutes
865	Firmicutes
866	Prevotella
867	Firmicutes
868	Firmicutes
869	Firmicutes
870	Firmicutes
871	Prevotella
872	Prevotella
873	Firmicutes
874	Firmicutes
875	Firmicutes
876	Firmicutes
877	Firmicutes
878	Firmicutes
879	Firmicutes
880	Firmicutes
881	Prevotella
882	Prevotella
883	Firmicutes
884	Firmicutes
885	Firmicutes
886	Prevotella
887	Firmicutes
888	Firmicutes
889	Firmicutes
890	Firmicutes
891	Firmicutes
892	Firmicutes
893	Firmicutes
894	Prevotella
895	Prevotella
896	Prevotella
897	Prevotella
898	Firmicutes
899	Firmicutes
900	Firmicutes
901	Firmicutes
902	Firmicutes
903	Prevotella
904	Firmicutes
905	Firmicutes
906	Prevotella
907	Prevotella
908	Prevotella
909	Firmicutes
910	Firmicutes
911	Firmicutes
912	Firmicutes
913	Prevotella
914	Firmicutes
915	Firmicutes
916	Firmicutes
917	Firmicutes
918	Firmicutes
919	Prevotella
920	Firmicutes
921	Firmicutes
